Age_Range,Date,Sex,Count
0,2017-11-12,F,1
40-44,2015-03-29,M,1
40-44,2022-07-10,F,1
40-44,2011-11-09,M,1
40-44,2015-11-15,F,1
45-49,2022-02-08,F,1
45-49,2020-04-17,M,1
45-49,2022-07-10,M,1
45-49,2022-07-10,F,1
45-49,2020-07-13,F,1
50-54,2018-01-23,M,1
50-54,2011-05-18,F,1
50-54,2012-08-12,F,1
50-54,2016-09-06,M,1
55-59,2014-05-16,M,1
55-59,2014-07-05,F,1
55-59,2013-08-15,M,1
55-59,2014-08-29,F,1
55-59,2021-12-03,M,1
60-64,2013-01-14,M,1
60-64,2020-01-28,F,1
60-64,2019-02-22,M,1
60-64,2022-03-28,M,1
60-64,2020-07-22,M,1
60-64,2016-08-10,M,1
60-64,2012-08-31,M,1
60-64,2011-10-03,M,1
60-64,2021-11-24,F,1
60-64,2015-12-12,M,1
65-69,2015-02-09,M,1
65-69,2019-03-12,F,1
65-69,2017-03-20,M,1
65-69,2012-04-04,F,1
65-69,2019-06-06,M,1
65-69,2021-06-15,M,1
65-69,2017-07-13,F,1
65-69,2021-07-22,M,1
65-69,2022-07-23,M,1
65-69,2012-08-01,F,1
65-69,2017-08-02,M,1
65-69,2021-08-06,F,1
65-69,2011-08-21,F,1
65-69,2017-08-23,M,1
65-69,2015-10-04,M,1
65-69,2018-10-04,F,1
65-69,2011-10-20,M,1
65-69,2015-12-09,M,1
70-74,2016-01-21,M,1
70-74,2022-02-17,F,1
70-74,2020-04-04,F,1
70-74,2013-04-09,M,1
70-74,2019-04-30,M,1
70-74,2019-05-23,M,1
70-74,2017-06-06,F,1
70-74,2021-06-09,M,1
70-74,2016-06-10,F,1
70-74,2016-06-24,M,1
70-74,2014-08-27,M,1
70-74,2013-08-28,F,1
70-74,2019-09-30,M,1
70-74,2017-10-07,F,1
70-74,2020-11-05,M,1
70-74,2019-11-21,F,1
70-74,2018-12-08,M,1
70-74,2011-12-20,M,1
70-74,2021-12-23,M,1
75-79,2017-01-14,F,1
75-79,2022-01-22,M,1
75-79,2019-01-24,M,1
75-79,2011-02-03,M,1
75-79,2014-02-03,M,1
75-79,2013-02-08,M,1
75-79,2018-02-21,M,1
75-79,2021-02-21,M,1
75-79,2011-03-03,M,1
75-79,2011-03-27,M,1
75-79,2021-04-02,M,1
75-79,2018-04-19,M,1
75-79,2015-05-07,M,1
75-79,2012-05-16,M,1
75-79,2021-06-15,F,1
75-79,2014-06-20,M,1
75-79,2016-06-30,M,1
75-79,2022-07-04,F,1
75-79,2015-07-21,F,1
75-79,2022-07-30,M,1
75-79,2019-08-23,M,1
75-79,2016-09-19,F,1
75-79,2017-10-21,F,1
75-79,2014-11-20,M,1
75-79,2021-11-23,F,1
75-79,2011-11-30,F,1
75-79,2021-12-09,M,1
75-79,2016-12-31,F,1
80-84,2015-01-08,M,1
80-84,2022-01-08,M,1
80-84,2016-01-14,M,1
80-84,2020-01-14,M,1
80-84,2020-02-06,M,1
80-84,2014-02-09,F,1
80-84,2011-02-11,M,2
80-84,2017-02-23,M,1
80-84,2021-03-09,F,1
80-84,2015-03-20,M,1
80-84,2012-03-29,M,1
80-84,2011-04-08,F,1
80-84,2022-04-12,F,1
80-84,2022-04-23,M,1
80-84,2020-05-15,F,1
80-84,2019-06-02,M,1
80-84,2014-06-11,M,1
80-84,2011-06-14,F,1
80-84,2021-06-16,F,1
80-84,2020-06-20,M,1
80-84,2012-06-25,F,1
80-84,2011-07-17,M,1
80-84,2016-07-24,M,1
80-84,2011-07-27,M,1
80-84,2013-08-05,M,1
80-84,2017-08-11,M,1
